TRACTCE,Pct_20+Complex,Pct_NoVehicle,Pct_Rent35%orMore,Pct_AccessToComputer,Pct_AccessToBroadband,Data type
1401,0.4186684969114619,0.22097902097902097,0.272,0.986013986013986,0.9727272727272728,Training data
9505,0.13429106808244848,0.19616519174041297,0.4732620320855615,0.8348082595870207,0.7986725663716814,Test data
1902,0.04519119351100811,0.09878048780487805,0.384,0.8853658536585366,0.8585365853658536,Training data
1901,0.01290719114935464,0.1766735679779158,0.2819843342036554,0.935127674258109,0.8840579710144928,Test data
1100,0.36690328305235137,0.2411450752062106,0.26656626506024095,0.9645803008248424,0.8816108685104318,Training data
1402,0.44375,0.32275132275132273,0.3951734539969834,0.7804232804232805,0.7420634920634921,Training data
2001,0.34615384615384615,0.2767175572519084,0.4376012965964344,0.8912213740458015,0.8062977099236641,Training data
1301,0.7410281280310378,0.2589890568004169,0.329803328290469,0.9598749348619072,0.8723293381969776,Test data
9507,0.028145695364238412,0.1891891891891892,0.3854166666666667,0.8581081081081081,0.7077702702702703,Training data
2002,0.23273480662983426,0.12064965197215777,0.34864864864864864,0.9698375870069605,0.8360402165506574,Training data
2101,0.2641764176417642,0.2939297124600639,0.2644808743169399,0.9281150159744409,0.7651757188498403,Training data
1001,0.1312169312169312,0.12819589485055816,0.35670103092783506,0.9495858840475333,0.9225783219301404,Training data
2600,0.2578046324269889,0.16898395721925133,0.33687943262411346,0.9454545454545454,0.895187165775401,Test data
2102,0.1134020618556701,0.21875,0.40456182472989194,0.9279233870967742,0.873991935483871,Test data
9508,0.37298499166203447,0.3864795918367347,0.3279044516829533,0.7882653061224489,0.7627551020408163,Training data
1200,0.5527657905060808,0.21555915721231766,0.336996336996337,0.9837925445705025,0.9371961102106969,Training data
9503,0.0,0.016100178890876567,0.09722222222222222,0.8953488372093024,0.8443649373881932,Test data
9501,0.12807634354595682,0.33719704952581664,0.4638709677419355,0.845100105374078,0.6327713382507903,Training data
9509,0.0,0.2111801242236025,0.6542056074766355,0.8175465838509317,0.7484472049689441,Training data
2202,0.07919463087248323,0.30392156862745096,0.4707740916271722,0.8741830065359477,0.7671568627450981,Training data
2201,0.04374453193350831,0.125,0.046511627906976744,0.8901209677419355,0.8407258064516129,Training data
901,0.12674348089751364,0.1211340206185567,0.3384615384615385,0.9368556701030928,0.928479381443299,Training data
1302,0.8473926380368099,0.2715999186826591,0.362453531598513,0.9516161821508436,0.919089245781663,Training data
2501,0.28944911297852477,0.365441906653426,0.2707509881422925,0.8649453823237339,0.7010923535253227,Training data
2301,0.05324459234608985,0.157254561251086,0.23636363636363636,0.9669852302345786,0.8444830582102519,Test data
9400,0.05895196506550218,0.12394195888754535,0.5770750988142292,0.8839177750906893,0.8700120918984281,Test data
1600,0.014669926650366748,0.03418803418803419,0.2807017543859649,0.9428007889546351,0.9066403681788298,Training data
1500,0.030416471689284044,0.0067178502879078695,0.4772727272727273,0.9568138195777351,0.9510556621880998,Training data
10300,0.3098693759071118,0.18654434250764526,0.36950146627565983,0.882262996941896,0.8348623853211009,Training data
1702,0.3341584158415842,0.18246753246753247,0.14126984126984127,0.9759740259740259,0.8902597402597403,Training data
1803,0.5750431282346176,0.3398241206030151,0.39314369073668853,0.8982412060301508,0.660175879396985,Training data
1804,0.3339222614840989,0.3273753527751646,0.5073529411764706,0.7779868297271872,0.6999059266227657,Test data
9203,0.2338049143708116,0.22897196261682243,0.2229299363057325,0.9509345794392523,0.9034267912772586,Training data
3600,0.5398230088495575,0.46862745098039216,0.19822282980177716,0.8965686274509804,0.8578431372549019,Training data
3301,0.05325443786982249,0.17388493859082094,0.2679425837320574,0.97349709114415,0.8713639301874596,Training data
3700,0.6387205387205387,0.4953810623556582,0.3556164383561644,0.8872209391839877,0.8691301000769823,Training data
3800,0.6380262249827467,0.4562968248305387,0.21490280777537796,0.9653942204780592,0.9593292900463789,Training data
702,0.7683297180043384,0.4182600382409178,0.3415071770334928,0.9722753346080306,0.8652007648183556,Training data
9204,0.5586017820424949,0.5326409495548962,0.329935125115848,0.7722551928783383,0.5667655786350149,Training data
4001,0.48696023941855493,0.3518005540166205,0.13109243697478992,0.9796860572483841,0.907202216066482,Training data
300,0.1251993620414673,0.17385892116182572,0.29954337899543376,0.9921161825726141,0.9829875518672199,Training data
8702,0.5037756202804746,0.49048751486325803,0.2755020080321285,0.9458977407847801,0.8686087990487514,Training data
4100,0.5843828715365239,0.33953834698436336,0.25,0.9687267311988086,0.9493670886075949,Training data
4400,0.503001579778831,0.3776763776763777,0.2546816479400749,0.972972972972973,0.9505089505089505,Training data
4300,0.6114701130856219,0.5175772977551885,0.303129074315515,0.952562473528166,0.8394747988140618,Training data
802,0.16255144032921812,0.09555069292487235,0.43202979515828677,1.0,0.9591539022611233,Training data
4201,0.45837275307473985,0.5539906103286385,0.20205209155485399,0.974960876369327,0.9134063641105895,Training data
2400,0.18484650555192683,0.2805049088359046,0.22664015904572565,0.9516129032258065,0.9046283309957924,Training data
9504,0.01221264367816092,0.1876484560570071,0.3135011441647597,0.9231987331749802,0.8717339667458432,Training data
1002,0.5429740791268759,0.17501375894331314,0.4310798946444249,0.9878921298844249,0.9449642267473858,Test data
2302,0.5284210526315789,0.46733668341708545,0.4492753623188406,0.6055276381909548,0.5515075376884422,Training data
600,0.43351063829787234,0.25539733578318785,0.3615819209039548,0.9536058796508957,0.8984841525034452,Test data
2502,0.4804998106777736,0.3754601226993865,0.2598684210526316,0.8372188139059304,0.7488752556237219,Test data
902,0.016184971098265895,0.05149700598802395,0.2894736842105263,0.98562874251497,0.9664670658682635,Training data
2701,0.6104190260475651,0.5244512899499423,0.36457142857142855,0.9272237196765498,0.8448209472468232,Training data
801,0.5123674911660777,0.06943899568458219,0.44805194805194803,0.9764613573950569,0.9686151431934091,Training data
2801,0.604702022963368,0.6042528056704075,0.40162271805273836,0.9344359125812167,0.8109864146485528,Training data
3200,0.05747738158594997,0.23925233644859814,0.30092592592592593,0.9538940809968848,0.8118380062305296,Test data
2900,0.2092471843509188,0.38227513227513227,0.2747395833333333,0.9517195767195767,0.8835978835978836,Test data
3100,0.19241573033707865,0.3702602230483271,0.3,0.979182156133829,0.8297397769516729,Training data
11100,0.04438502673796792,0.18459729570840683,0.37142857142857144,0.908289241622575,0.8447971781305115,Test data
9301,0.09773260359655982,0.11464435146443515,0.2261904761904762,0.9489539748953975,0.902092050209205,Training data
501,0.9021199819576003,0.3685356559608057,0.20604395604395603,0.9967338051170387,0.985302123026674,Training data
9201,0.43208955223880596,0.30662020905923343,0.3284182305630027,0.9564459930313589,0.9033101045296167,Training data
701,0.7724567866251063,0.22725889869181626,0.4254992319508449,0.9650136902951019,0.9577121995740797,Training data
2802,0.8104892022917585,0.5659784560143627,0.2921535893155259,0.8895870736086176,0.7149910233393177,Test data
4002,0.5233644859813084,0.4252054794520548,0.17042115572967678,0.9950684931506849,0.9704109589041096,Training data
2702,0.40857699805068226,0.3531645569620253,0.32651515151515154,0.9388185654008439,0.880168776371308,Training data
502,0.5523648648648649,0.2575187969924812,0.217753120665742,0.9667919799498746,0.9630325814536341,Training data
400,0.5112359550561798,0.21489001692047377,0.4507042253521127,0.9458544839255499,0.9137055837563451,Training data
3000,0.3337446020974707,0.4186684969114619,0.28632938643702904,0.9135209334248455,0.8558682223747426,Training data
9000,0.407723394701392,0.32750689972401104,0.5199637023593466,0.7879484820607175,0.6867525298988041,Test data
3400,0.1397538015930485,0.42596153846153845,0.25041736227045075,0.8942307692307693,0.6913461538461538,Training data
3900,0.7993890020366599,0.5635120546959338,0.17773892773892774,0.9946023749550198,0.9499820079165168,Training data
9302,0.2445141065830721,0.2866666666666667,0.4722222222222222,0.9083333333333333,0.8466666666666667,Test data
9102,0.14007252946509519,0.3986013986013986,0.4345098039215686,0.8726273726273727,0.8076923076923077,Training data
